MICROBLOC_LATITUDE,MICROBLOC_LONGITUDE,TRIP_ID
33.91,-84.34,7
33.91,-84.33,7
33.91,-84.35,7
33.91,-84.36,7
33.9,-84.36,7
33.91,-84.37,7
33.91,-84.38,7
33.91,-84.39,7
33.91,-84.4,7
33.91,-84.41,7
33.91,-84.42,7
33.9,-84.42,7
33.9,-84.43,7
33.9,-84.44,7
33.89,-84.44,7
33.89,-84.45,7
33.88,-84.46,7
33.88,-84.47,7
33.87,-84.47,7
33.86,-84.47,7
33.86,-84.48,7
33.89,-84.46,7
33.92,-84.33,10
33.91,-84.33,10
33.92,-84.32,10
33.92,-84.31,10
33.92,-84.3,10
33.92,-84.29,10
33.91,-84.29,10
33.91,-84.28,10
33.9,-84.28,10
33.9,-84.27,10
33.9,-84.26,10
33.89,-84.26,10
33.89,-84.25,10
33.88,-84.25,10
33.88,-84.24,10
33.87,-84.24,10
33.86,-84.24,10
33.85,-84.24,10
33.84,-84.24,10
33.83,-84.24,10
33.83,-84.25,10
33.82,-84.25,10
33.81,-84.25,10
33.8,-84.25,10
33.8,-84.24,10
33.91,-84.34,10
33.91,-84.35,10
33.92,-84.34,10
33.58,-84.37,3498
33.58,-84.36,3498
33.58,-84.35,3498
33.57,-84.35,3498
33.57,-84.34,3498
33.57,-84.33,3498
33.57,-84.32,3498
33.56,-84.32,3498
33.56,-84.31,3498
33.55,-84.31,3498
33.55,-84.3,3498
33.55,-84.29,3498
33.55,-84.28,3498
33.54,-84.28,3498
33.54,-84.27,3498
33.54,-84.26,3498
33.53,-84.26,3498
33.53,-84.25,3498
33.52,-84.25,3498
33.52,-84.24,3498
33.51,-84.24,3498
33.51,-84.23,3498
33.5,-84.23,3498
33.5,-84.22,3498
33.49,-84.22,3498
33.49,-84.21,3498
33.48,-84.21,3498
33.47,-84.21,3498
33.46,-84.21,3498
33.46,-84.2,3498
33.45,-84.2,3498
33.44,-84.2,3498
33.44,-84.19,3498
33.43,-84.19,3498
33.43,-84.18,3498
33.42,-84.18,3498
33.42,-84.17,3498
33.41,-84.17,3498
33.41,-84.16,3498
33.41,-84.15,3498
33.4,-84.15,3498
33.39,-84.15,3498
33.39,-84.14,3498
33.38,-84.14,3498
33.38,-84.13,3498
33.37,-84.13,3498
33.36,-84.13,3498
33.36,-84.12,3498
33.35,-84.12,3498
33.34,-84.12,3498
33.33,-84.12,3498
33.32,-84.12,3498
33.32,-84.11,3498
33.31,-84.11,3498
33.3,-84.11,3498
33.29,-84.11,3498
